medium,state,n,base_weighted_rmse,best_weighted_rmse,best_minus_base_weighted_rmse
natural,E,44,6.304188240136757,6.089470312686352,-0.214717927450405
natural,F,91,5.825393106037888,5.6450651916726935,-0.18032791436519455
natural,G,91,5.183955016125349,5.1251900328302336,-0.058764983295115036
natural,Gly,91,3.525689365149286,3.3970063305450364,-0.12868303460425004
natural,N,91,4.284510466843923,4.248073104324415,-0.036437362519507605
natural,X,100,6.294272612932738,6.013790095023264,-0.2804825179094723
natural,Xd,100,1.8339737651963384,1.7925920898004053,-0.04138167539593335
synthetic,E,40,4.018184345906412,3.2677608731602503,-0.7504234727461615
synthetic,F,86,3.283532984525653,2.351614606615913,-0.9319183779097399
synthetic,G,86,4.056449112032376,3.6327544218355308,-0.42369469019684536
synthetic,Gly,85,2.3136641516920533,2.0230673290654897,-0.29059682262656333
synthetic,N,83,7.028135856248919,7.011591157795519,-0.016544698453399988
synthetic,X,76,3.872636755286898,3.683237275210992,-0.18939948007590615
synthetic,Xd,86,5.626924576431678,5.715000544043681,0.08807596761200372
