candidate_a,candidate_b,scaled_rms_distance,trajectory_correlation
synthetic_late_ethanol_death_probe,synthetic_ethanol_inhibition_challenge,0.20327517615762417,0.9655152251035757
natural_glucose_pulse_after_growth,natural_cold_hot_switch,0.24267557451756147,0.9427383710238171
synthetic_high_sugar_reference,natural_glucose_pulse_after_growth,0.34842838751254235,0.9144397876411566
synthetic_viable_biomass_step,natural_cold_hot_switch,0.3516467450627634,0.9249461047774331
synthetic_viable_biomass_step,natural_glucose_pulse_after_growth,0.36476552350136765,0.8933134788217814
synthetic_ethanol_inhibition_challenge,natural_glucose_pulse_after_growth,0.3725143620117601,0.8469804515023244
synthetic_late_ethanol_death_probe,natural_glucose_pulse_after_growth,0.3815940855047924,0.8392471186633537
synthetic_high_sugar_reference,synthetic_low_yan_ladder,0.3927540914587833,0.9287397911101982
synthetic_glucose_rich_fructose_pulse,natural_glucose_pulse_after_growth,0.40143426628333595,0.8871272754367154
synthetic_ethanol_inhibition_challenge,synthetic_high_sugar_reference,0.4096647406872088,0.8545409091327882
synthetic_low_yan_ladder,natural_glucose_pulse_after_growth,0.43218024761568086,0.7872449928727677
synthetic_high_sugar_reference,natural_cold_hot_switch,0.43312078888907973,0.8848751702478562
synthetic_low_yan_ladder,natural_cold_hot_switch,0.44524849931290156,0.7450378308437092
synthetic_viable_biomass_step,synthetic_ethanol_inhibition_challenge,0.44991773904524474,0.8234897012626967
synthetic_fructose_rich_glucose_pulse,synthetic_high_sugar_reference,0.45660614204888833,0.8333279929260563
synthetic_glucose_rich_fructose_pulse,synthetic_high_sugar_reference,0.4572598910626974,0.8337087319104509
synthetic_viable_biomass_step,synthetic_high_sugar_reference,0.45863678881355324,0.8321081380134917
synthetic_high_biomass_low_N_maintenance,synthetic_late_ethanol_death_probe,0.4673152033762308,0.8293616892771578
synthetic_ethanol_inhibition_challenge,natural_cold_hot_switch,0.4723767848322695,0.7557074155805584
synthetic_late_ethanol_death_probe,natural_cold_hot_switch,0.4767623978319339,0.7253881588456563
synthetic_late_ethanol_death_probe,synthetic_low_yan_ladder,0.47774699066027076,0.7004588387225762
synthetic_ethanol_inhibition_challenge,synthetic_low_yan_ladder,0.4804870695373047,0.726481274889532
synthetic_fructose_rich_glucose_pulse,natural_cold_hot_switch,0.48071845933110463,0.7917096054917182
synthetic_late_ethanol_death_probe,synthetic_viable_biomass_step,0.49853368767613443,0.7965444096362428
synthetic_high_biomass_low_N_maintenance,synthetic_ethanol_inhibition_challenge,0.5000617914102026,0.7760935968982055
synthetic_late_ethanol_death_probe,synthetic_high_sugar_reference,0.5029900861520297,0.8067523037335679
synthetic_high_biomass_low_N_maintenance,synthetic_viable_biomass_step,0.5052935019961201,0.7955387627685135
synthetic_fructose_rich_glucose_pulse,synthetic_ethanol_inhibition_challenge,0.5093690456575302,0.7486471700160152
synthetic_high_biomass_low_N_maintenance,natural_glucose_pulse_after_growth,0.511270965157007,0.775158001919253
synthetic_glucose_rich_fructose_pulse,synthetic_ethanol_inhibition_challenge,0.5141606115568896,0.782605031876154
synthetic_fructose_rich_glucose_pulse,natural_glucose_pulse_after_growth,0.5225474061515314,0.7426952905024229
synthetic_fructose_rich_glucose_pulse,synthetic_low_yan_ladder,0.5230809069255408,0.7419333593705189
synthetic_fructose_rich_glucose_pulse,synthetic_viable_biomass_step,0.531253801790753,0.7672999107151646
synthetic_glucose_rich_fructose_pulse,natural_cold_hot_switch,0.5387248920925892,0.7970167016703963
synthetic_glucose_rich_fructose_pulse,synthetic_viable_biomass_step,0.5393384364036807,0.7774398926863509
synthetic_glucose_rich_fructose_pulse,synthetic_late_ethanol_death_probe,0.5684043101508126,0.7567496777785202
synthetic_fructose_rich_glucose_pulse,synthetic_late_ethanol_death_probe,0.576085289475987,0.6817333028690465
synthetic_viable_biomass_step,synthetic_low_yan_ladder,0.5973723390397198,0.6894246215104282
synthetic_high_biomass_low_N_maintenance,natural_cold_hot_switch,0.5984036333152503,0.6993242208624808
synthetic_glucose_rich_fructose_pulse,synthetic_low_yan_ladder,0.6083044902420264,0.7177005839244512
synthetic_high_biomass_low_N_maintenance,synthetic_high_sugar_reference,0.6399310120266718,0.6615804602717358
synthetic_high_biomass_low_N_maintenance,synthetic_low_yan_ladder,0.6524393572945554,0.6184538451079353
synthetic_glucose_rich_fructose_pulse,synthetic_high_biomass_low_N_maintenance,0.6725032381917749,0.649403163050757
synthetic_fructose_rich_glucose_pulse,synthetic_high_biomass_low_N_maintenance,0.7148566190764192,0.5759034304594709
synthetic_glucose_rich_fructose_pulse,synthetic_fructose_rich_glucose_pulse,0.8118938854743676,0.47693946156645645
