Cubada,n_registros,t_final_h,temperatura_setpoint,densidad_inicial,densidad_final,GLUCOSE_inicial,GLUCOSE_final,FRUCTOSE_inicial,FRUCTOSE_final,YAN_inicial,YAN_final,ETANOL_final,GLYCEROL_final,Viability_final,Peso_Seco_final,Ethyl_Acetate_total_final,isoamil_acetate_total_final,octanoate_de_etilo_total_final
MS007,9,213.0,15,1098.6,1020.9,125.34,14.64,120.52000000000001,49.08,224.0,119.0,10.04,6.76,63.57,,,,
MS008,9,213.0,15,1097.1,1014.7,124.28,9.99,119.63,42.07,218.0,60.0,10.64,6.91,69.76,,,,
MS009,9,213.0,23,1095.4,989.8,120.89,1.13,114.19000000000001,0.8900000000000001,236.0,34.0,14.02,7.24,48.48,,,,
MS010,9,213.5,19,1097.9,992.0,124.65,0.96,113.21000000000001,3.92,221.0,,14.04,7.99,71.54,,,,
MS011,9,213.5,19,1097.2,996.4,123.57,2.48,119.77000000000001,11.799999999999999,218.0,,13.35,7.93,70.96,,,,
MS012,9,213.5,23,1095.3,988.8,122.56,2.97,114.22999999999999,-1.4400000000000002,223.0,,14.2,7.68,56.97,,,,
MS013,8,213.0,19,1098.4,993.9,125.07,1.09,116.20000000000002,8.43,218.0,90.0,13.9,8.08,67.21,,,,
MS014,8,213.0,19,1101.2,995.6,127.15,1.54,126.5,12.280000000000001,226.0,98.0,13.9,7.92,67.19,,,,
MS015,8,213.0,15,1098.3,1016.3,121.91,11.15,118.49000000000001,43.0,220.0,111.0,10.8,7.39,71.76,,,,
MS016,8,208.0,23,1098.5,989.0,125.22,0.6,116.88,0.12,214.0,129.0,14.5,7.86,54.08,,,,
