Index,policy,sample_number,time_h,local_timestamp,weekday,active_probability,candidate_only_not_for_physical_execution,notice,authorized_for_physical_execution,logical_profile,tank,event_label,sequence_if_nutrition_coincides
10,candidate_A,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,BASAL,SAMPLE_FIRST
11,candidate_A,2,18.0,2026-07-21T09:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_02,SAMPLE_FIRST
12,candidate_A,3,22.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_03,SAMPLE_FIRST
13,candidate_A,4,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_04,SAMPLE_FIRST
14,candidate_A,5,42.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_05,SAMPLE_FIRST
15,candidate_A,6,50.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_06,SAMPLE_FIRST
16,candidate_A,7,66.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_07,SAMPLE_FIRST
17,candidate_A,8,74.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_08,SAMPLE_FIRST
18,candidate_A,9,98.0,2026-07-24T17:00:00-04:00,Friday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_09,SAMPLE_FIRST
19,candidate_A,10,162.0,2026-07-27T09:00:00-04:00,Monday,0.953125,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,SAMPLE_10,SAMPLE_FIRST
