date,manual_samples,manual_pulses,manual_temperature_changes,total_manual_events
2026-06-15,12,0,0,12
2026-06-16,12,2,0,14
2026-06-17,12,3,0,15
2026-06-18,12,2,0,14
2026-06-19,6,0,0,6
2026-06-22,3,0,0,3
2026-06-23,1,0,0,1
2026-06-29,12,0,0,12
2026-06-30,12,1,0,13
2026-07-01,12,2,0,14
2026-07-02,12,2,0,14
2026-07-03,6,2,0,8
2026-07-06,3,0,0,3
2026-07-07,2,0,0,2
2026-07-08,1,0,0,1
2026-07-09,1,0,0,1
2026-07-13,12,0,0,12
2026-07-14,12,0,0,12
2026-07-15,12,2,0,14
2026-07-16,12,2,0,14
2026-07-17,6,1,0,7
2026-07-20,3,0,0,3
2026-07-21,2,0,0,2
