policy,action,time_h,value,unit
anchor_18C,temperature_setpoint,0.0,18.0,degC
anchor_18C,temperature_setpoint,12.0,18.0,degC
anchor_18C,temperature_setpoint,24.0,18.0,degC
anchor_18C,temperature_setpoint,36.0,18.0,degC
anchor_18C,temperature_setpoint,48.0,18.0,degC
anchor_18C,temperature_setpoint,60.0,18.0,degC
anchor_18C,temperature_setpoint,72.0,18.0,degC
anchor_18C,temperature_setpoint,84.0,18.0,degC
anchor_18C,temperature_setpoint,96.0,18.0,degC
anchor_18C,temperature_setpoint,108.0,18.0,degC
anchor_18C,temperature_setpoint,120.0,18.0,degC
anchor_18C,temperature_setpoint,132.0,18.0,degC
anchor_18C,temperature_setpoint,144.0,18.0,degC
anchor_18C,temperature_setpoint,156.0,18.0,degC
anchor_18C,nutrition,48.0,80.0,mgYAN/L
wave1_A,temperature_setpoint,0.0,15.0,degC
wave1_A,temperature_setpoint,12.0,24.93553070172618,degC
wave1_A,temperature_setpoint,24.0,18.516667592024554,degC
wave1_A,temperature_setpoint,36.0,18.192993459201848,degC
wave1_A,temperature_setpoint,48.0,17.003503743746567,degC
wave1_A,temperature_setpoint,60.0,21.881547793421,degC
wave1_A,temperature_setpoint,72.0,24.319109417823235,degC
wave1_A,temperature_setpoint,84.0,24.255326791744867,degC
wave1_A,temperature_setpoint,96.0,24.71571654371362,degC
wave1_A,temperature_setpoint,108.0,19.956189613778957,degC
wave1_A,temperature_setpoint,120.0,18.454972676745523,degC
wave1_A,temperature_setpoint,132.0,22.624061939640903,degC
wave1_A,temperature_setpoint,144.0,19.0535127550896,degC
wave1_A,temperature_setpoint,156.0,19.68931035865235,degC
wave1_A,nutrition,4.0,80.0,mgYAN/L
wave1_A,nutrition,28.0,71.90997868863596,mgYAN/L
wave1_A,nutrition,96.0,64.20849481222905,mgYAN/L
wave1_B,temperature_setpoint,0.0,24.05702418909596,degC
wave1_B,temperature_setpoint,12.0,22.151829675161558,degC
wave1_B,temperature_setpoint,24.0,20.07959741972641,degC
wave1_B,temperature_setpoint,36.0,18.189216318283705,degC
wave1_B,temperature_setpoint,48.0,21.347677215964424,degC
wave1_B,temperature_setpoint,60.0,17.218403158327806,degC
wave1_B,temperature_setpoint,72.0,15.0,degC
wave1_B,temperature_setpoint,84.0,25.0,degC
wave1_B,temperature_setpoint,96.0,21.65735239614189,degC
wave1_B,temperature_setpoint,108.0,22.680937191066437,degC
wave1_B,temperature_setpoint,120.0,21.40821453540491,degC
wave1_B,temperature_setpoint,132.0,18.621833402375827,degC
wave1_B,temperature_setpoint,144.0,15.01084043999293,degC
wave1_B,temperature_setpoint,156.0,24.792261218166644,degC
wave1_B,nutrition,28.0,23.22790271100598,mgYAN/L
wave1_B,nutrition,48.0,79.9461552553467,mgYAN/L
wave1_B,nutrition,52.0,52.30776187816816,mgYAN/L
