case,direction,eigenvalue,relative_eigenvalue
historical_synthetic_only,1,0.0,0.0
historical_synthetic_only,2,0.0,0.0
historical_synthetic_only,3,0.0,0.0
historical_synthetic_only,4,0.0,0.0
historical_synthetic_only,5,0.0,0.0
historical_synthetic_only,6,0.0,0.0
historical_synthetic_only,7,0.0,0.0
historical_synthetic_only,8,0.0,0.0
historical_synthetic_only,9,0.0,0.0
historical_synthetic_only,10,0.0,0.0
historical_synthetic_only,11,0.0,0.0
historical_synthetic_only,12,0.0,0.0
historical_synthetic_only,13,4.292814995231587e-05,4.4872484389663676e-10
historical_synthetic_only,14,27.039495911543217,0.0002826418933829785
historical_synthetic_only,15,38.861416008322365,0.0004062155683696304
historical_synthetic_only,16,163.9151264132086,0.0017133929506341682
historical_synthetic_only,17,271.26081552845625,0.00283546966823606
historical_synthetic_only,18,715.256344438197,0.0074765227912365305
historical_synthetic_only,19,1516.509023344095,0.015851959041417042
historical_synthetic_only,20,2724.577765996154,0.02847981415665261
historical_synthetic_only,21,5792.679097328659,0.060550455274206064
historical_synthetic_only,22,10506.228379375283,0.10982084470712808
historical_synthetic_only,23,12865.954756297253,0.13448689370526257
historical_synthetic_only,24,20996.418806420297,0.21947404585953006
historical_synthetic_only,25,28308.454773225123,0.29590622850461706
historical_synthetic_only,26,95666.97840827444,1.0
