parameter,group,campaign_var_ratio,campaign_var_reduction
mu0,accepted_current,0.07692377224779748,0.9230762277522025
sN,currently_fixed_target,0.38175186601660366,0.6182481339833963
qN,accepted_current,0.10703639476889898,0.892963605231101
qXG,currently_fixed_target,0.01861153132097699,0.981388468679023
qXF,currently_fixed_target,0.0184459909429186,0.9815540090570813
betaG0,accepted_current,0.01324492389988311,0.9867550761001169
sG,currently_fixed_target,0.018066603352243617,0.9819333966477564
betaF0,accepted_current,0.0034512087450409624,0.996548791254959
sF,currently_fixed_target,0.03706740045407317,0.9629325995459268
qEG,accepted_current,0.01956475710610866,0.9804352428938914
qEF,accepted_current,0.0035689151739734955,0.9964310848260265
iG,accepted_current,0.002715122365387582,0.9972848776346124
iE,currently_fixed_target,0.016098103526553522,0.9839018964734465
Kd0,currently_fixed_target,0.0009450294954454783,0.9990549705045545
m0,currently_fixed_target,0.02036211161819575,0.9796378883818042
