policy,action,time_h,value,unit
anchor_18C,temperature_setpoint,0.0,18.0,degC
anchor_18C,temperature_setpoint,12.0,18.0,degC
anchor_18C,temperature_setpoint,24.0,18.0,degC
anchor_18C,temperature_setpoint,36.0,18.0,degC
anchor_18C,temperature_setpoint,48.0,18.0,degC
anchor_18C,temperature_setpoint,60.0,18.0,degC
anchor_18C,temperature_setpoint,72.0,18.0,degC
anchor_18C,temperature_setpoint,84.0,18.0,degC
anchor_18C,temperature_setpoint,96.0,18.0,degC
anchor_18C,temperature_setpoint,108.0,18.0,degC
anchor_18C,temperature_setpoint,120.0,18.0,degC
anchor_18C,temperature_setpoint,132.0,18.0,degC
anchor_18C,temperature_setpoint,144.0,18.0,degC
anchor_18C,temperature_setpoint,156.0,18.0,degC
anchor_18C,nutrition,48.0,80.0,mgYAN/L
wave1_A,temperature_setpoint,0.0,15.560136157801807,degC
wave1_A,temperature_setpoint,12.0,25.0,degC
wave1_A,temperature_setpoint,24.0,18.910814073895693,degC
wave1_A,temperature_setpoint,36.0,17.820548714378287,degC
wave1_A,temperature_setpoint,48.0,16.31488740210889,degC
wave1_A,temperature_setpoint,60.0,18.693268662690443,degC
wave1_A,temperature_setpoint,72.0,23.85020475663403,degC
wave1_A,temperature_setpoint,84.0,25.0,degC
wave1_A,temperature_setpoint,96.0,17.14354642383751,degC
wave1_A,temperature_setpoint,108.0,18.079398582612058,degC
wave1_A,temperature_setpoint,120.0,19.305230595538884,degC
wave1_A,temperature_setpoint,132.0,25.0,degC
wave1_A,temperature_setpoint,144.0,15.543746517695826,degC
wave1_A,temperature_setpoint,156.0,20.15591787845305,degC
wave1_A,nutrition,4.0,80.0,mgYAN/L
wave1_A,nutrition,32.0,80.0,mgYAN/L
wave1_A,nutrition,96.0,64.5787591344594,mgYAN/L
wave1_B,temperature_setpoint,0.0,25.0,degC
wave1_B,temperature_setpoint,12.0,22.333555705046926,degC
wave1_B,temperature_setpoint,24.0,17.969403768652196,degC
wave1_B,temperature_setpoint,36.0,18.19779011470213,degC
wave1_B,temperature_setpoint,48.0,23.68390316473361,degC
wave1_B,temperature_setpoint,60.0,17.256725787863658,degC
wave1_B,temperature_setpoint,72.0,15.0,degC
wave1_B,temperature_setpoint,84.0,24.84269938423932,degC
wave1_B,temperature_setpoint,96.0,22.537892384127584,degC
wave1_B,temperature_setpoint,108.0,24.93761587465045,degC
wave1_B,temperature_setpoint,120.0,21.200388945518476,degC
wave1_B,temperature_setpoint,132.0,16.78676351786114,degC
wave1_B,temperature_setpoint,144.0,15.749534865067375,degC
wave1_B,temperature_setpoint,156.0,22.390192778592535,degC
wave1_B,nutrition,4.0,57.45867360462284,mgYAN/L
wave1_B,nutrition,48.0,11.183411756858154,mgYAN/L
wave1_B,nutrition,56.0,79.96596639163948,mgYAN/L
