,candidate,theta_hat,reference_prior_median,posterior_median_laplace,posterior_log_sd,posterior_95_lower,posterior_95_upper,posterior_var_over_weak_prior_var,l2_prior_precision,data_dominated_vs_weak_prior
mu0,reduced6_local,0.1588596435299433,0.158858848524967,0.1588596446898123,0.027868731059686007,0.15041503325912067,0.16777835409243022,0.0007766661708771076,0.0,True
qN,reduced6_local,0.0135461564473934,0.0135460719053021,0.013546156072061367,0.026280441702188788,0.012866064119617607,0.014262197251827377,0.0006906616160621434,0.0,True
betaG0,reduced6_local,0.4095806760221449,0.4095834574103576,0.40958068548048243,0.042513064955639855,0.37683533344254866,0.4451714662373548,0.0018073606919224536,0.0,True
betaF0,reduced6_local,0.3094211654202908,0.3094143987288918,0.3094211187818491,0.07374886477079315,0.26777723390125524,0.35754133147673217,0.005438895054980734,0.0,True
qEG,reduced6_local,0.515830386740921,0.5158266422872246,0.5158303647907139,0.03696658486798997,0.4797779797383159,0.5545918663988056,0.001366528396802305,0.0,True
qEF,reduced6_local,0.5792278945042094,0.5792246536797445,0.5792278583043646,0.0421840347862804,0.5332632633100945,0.6291543688070703,0.001779492790850115,0.0,True
mu0,plus_iG_unregularized,0.1568304913955837,0.158858848524967,0.1567918473492319,0.028354781344868123,0.14831579361024483,0.16575229648022285,0.0008039936251152813,0.0,True
qN,plus_iG_unregularized,0.0134153553148961,0.0135460719053021,0.013420320032480327,0.026605563545086995,0.012738425738962968,0.01413871646818228,0.0007078560115516621,0.0,True
betaG0,plus_iG_unregularized,0.3950395346620634,0.4095834574103576,0.39635727514926494,0.058673752988534916,0.35329925957511144,0.4446629459475299,0.0034426092897596097,0.0,True
betaF0,plus_iG_unregularized,0.2834958243326065,0.3094143987288918,0.28468970246824227,0.08366516341091286,0.24163204735012253,0.3354200222208861,0.006999859568574751,0.0,True
qEG,plus_iG_unregularized,0.5138651627122065,0.5158266422872246,0.5147076903717199,0.03939124040637221,0.4764640702626073,0.5560209532311118,0.0015516698207526105,0.0,True
qEF,plus_iG_unregularized,0.5022583722548266,0.5792246536797445,0.5057192056323486,0.08237141332516643,0.43032193540917774,0.5943269303765061,0.006785049733185405,0.0,True
iG,plus_iG_unregularized,0.0188579076202898,0.0270361608651571,0.01921236935480106,0.20755716348632608,0.012791006008967416,0.02885739682762422,0.043079976114489486,0.0,True
mu0,plus_qx_iG_unregularized,0.150517461172223,0.158858848524967,0.15046413020696042,0.02948071787826502,0.1420163953638957,0.15941437198801545,0.0008691127266178548,0.0,True
qN,plus_qx_iG_unregularized,0.0130038231038413,0.0135460719053021,0.012990247595430323,0.0272843036851246,0.012313813188841257,0.01370384055716396,0.0007444332275821037,0.0,True
betaG0,plus_qx_iG_unregularized,0.395069962840809,0.4095834574103576,0.4015443874339193,0.05930704228052716,0.35747887819392193,0.45104173956877697,0.0035173252640642366,0.0,True
betaF0,plus_qx_iG_unregularized,0.2872718566560797,0.3094143987288918,0.2873571343000848,0.08195059419205868,0.24471705067606286,0.33742692797675994,0.006715899888431481,0.0,True
qEG,plus_qx_iG_unregularized,0.539325344642944,0.5158266422872246,0.5384402699615601,0.039542722896736056,0.4982853148111367,0.5818311631884322,0.0015636269340880537,0.0,True
qEF,plus_qx_iG_unregularized,0.517296867156859,0.5792246536797445,0.5241678302973953,0.07960536817133888,0.44844471087171434,0.6126773438460216,0.006337014641694415,0.0,True
qXG,plus_qx_iG_unregularized,0.005,0.1124999999999999,0.11131199596758003,0.9985199936367721,0.015724780525197303,0.7879512484407847,0.9970421776923795,0.0,False
qXF,plus_qx_iG_unregularized,0.005,0.1124999999999999,0.11233407423382785,0.9990717548695526,0.015852014620993584,0.796046719339968,0.9981443713781274,0.0,False
iG,plus_qx_iG_unregularized,0.0174100915417625,0.0270361608651571,0.018619107257505454,0.20458963226528892,0.012468340184049945,0.027804114256520643,0.04185691763044615,0.0,True
mu0,plus_qx_iG_logL2_10,0.155377808467777,0.158858848524967,0.15523957154586637,0.02862906543802992,0.14676850921602694,0.1641995595817672,0.0008196233878549993,0.0,True
qN,plus_qx_iG_logL2_10,0.0133101185299815,0.0135460719053021,0.013304585904087375,0.02670564077740154,0.01262609526031789,0.014019536715802017,0.0007131912493316121,0.0,True
betaG0,plus_qx_iG_logL2_10,0.3995798062665501,0.4095834574103576,0.41711577842165026,0.050084877938247695,0.3781146545709199,0.46013972350724147,0.0025084949980891703,0.0,True
betaF0,plus_qx_iG_logL2_10,0.2889247532908035,0.3094143987288918,0.2958976309237902,0.0780822973184763,0.25390806439286917,0.3448311427038332,0.0060968451545309315,0.0,True
qEG,plus_qx_iG_logL2_10,0.5230426651395569,0.5158266422872246,0.5242446282669457,0.03787142402574462,0.48674016184826724,0.5646389014277032,0.001434244757737747,0.0,True
qEF,plus_qx_iG_logL2_10,0.5200605577299623,0.5792246536797445,0.5540792530909566,0.06092455824196136,0.4917131895693907,0.6243554682246486,0.0037118017969781413,0.0,True
qXG,plus_qx_iG_logL2_10,0.0755014543706534,0.1124999999999999,0.11191072167574667,0.1548781982731123,0.08261077805230882,0.15160261071571418,0.023987256300325485,40.0,True
qXF,plus_qx_iG_logL2_10,0.0916032749352908,0.1124999999999999,0.11429958392706806,0.15330358735698785,0.0846350005713075,0.1543616092362844,0.023501989896521604,40.0,True
iG,plus_qx_iG_logL2_10,0.0201896772309379,0.0270361608651571,0.024959596821834552,0.12567550955145793,0.01951014119522993,0.03193116171095918,0.015794333701018595,40.0,True
