;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Informe de Análisis N°  PRELIMINAR;;;;Código: R3-PGCL-07;;;;;;;;;;;;;;;;;;
;;;;Laboratorio;;;;Versión: 02;;;;;;;;;;;;;;;;;;
;;;;Centro de Investigación e Innovación;;;;Fecha: 05/2025;;;;;;;;;;;;;;;;;;
;;;;Viña Concha y Toro;;;;Aprobó: PAS;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;ANTECEDENTES DEL SOLICITANTE;;;;;;;;;;;;;;;;;;;;;;;;;
;Nombre;;;Cristóbal Torrealba;;;;;;;;;;;;;;;;;;;;;;
;Teléfono contacto;;;56978064927;;;;;;;;;;;;;;;;;;;;;;
;E-mail contacto;;;cristobal.torrealba@conchaytoro.cl;;;;;;;;;;;;;;;;;;;;;;
;Proyecto;;;Enología de Precisión;;;;;;;;;;;;;;;;;;;;;;
;Gerencia;;;Centro de Investigación e Innovación;;;;;;;;;;;;;;;;;;;;;;
;Ceco;;;1094-005;;;;;;;;;;;;;;;;;;;;;;
;Cotización;;;;;;;;;;;;;;;;;;;;;;;;;
;Cantidad muestras;;;84;;;;;;;;;;;;;;;;;;;;;;
;Fecha recepción de muestras;;;05/07/2026;;;;;;;;;;;;;;;;;;;;;;
;N° ficha de solicitud ;;;144;-26;;;;;;;;;;;;;;;;;;;;;
;Fecha análisis;;;08 al 19/06/2026;;;;;;;;;;;;;;;;;;;;;;
;Condiciones análisis;;;Análisis realizado sin desviaciones según el procedimiento.;;;;;;;;;;;;;;;;;;;;;;
;Metodología analítica;;;P-GC-007 DETERMINACIÓN DE AROMAS POR SPME EN VINOS POR GC MSMS;;;;;;;;;;;;;;;;;;;;;;
;;;;-;;;;;;;;;;;;;;;;;;;;;;
;;;;-;;;;;;;;;;;;;;;;;;;;;;
;;;;-;;;;;;;;;;;;;;;;;;;;;;
;;;;-;;;;;;;;;;;;;;;;;;;;;;
;;;;-;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;MUESTRAS;;;;;;;;;;;;;;;;;;;;;;;;;
;n°;Id. original muestra;Código Lab CII;Matriz;Variedad;Fundo / Bodega;Cuartel;Observaciones;;;;;;;;;;;;;;;;;;
;1;26157-P-01;Lab-26-2033;Vino;S. blanc;San Ignacio;N/A;04/06/2026;;;;;;;;;;;;;;;;;;
;2;26157-MIX-01;Lab-26-2034;Vino;S. blanc;San Ignacio;N/A;04/08/2026;;;;;;;;;;;;;;;;;;
;3;26157-P-05;Lab-26-2035;Vino;S. blanc;San Ignacio;N/A;04/08/2026;;;;;;;;;;;;;;;;;;
;4;26157-MIX-02;Lab-26-2036;Vino;S. blanc;San Ignacio;N/A;04/10/2026;;;;;;;;;;;;;;;;;;
;5;26157-P-08;Lab-26-2037;Vino;S. blanc;San Ignacio;N/A;04/10/2026;;;;;;;;;;;;;;;;;;
;6;26157-MIX-03;Lab-26-2038;Vino;S. blanc;San Ignacio;N/A;04/11/2026;;;;;;;;;;;;;;;;;;
;7;26157-P-10;Lab-26-2039;Vino;S. blanc;San Ignacio;N/A;04/11/2026;;;;;;;;;;;;;;;;;;
;8;26157-MIX-04;Lab-26-2040;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;9;26157-P-12;Lab-26-2041;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;10;26157-MIX-05;Lab-26-2042;Vino;S. blanc;San Ignacio;N/A;13/04/2026;;;;;;;;;;;;;;;;;;
;11;26157-P-13;Lab-26-2043;Vino;S. blanc;San Ignacio;N/A;13/04/2026;;;;;;;;;;;;;;;;;;
;12;26158-P-01;Lab-26-2044;Vino;S. blanc;San Ignacio;N/A;04/06/2026;;;;;;;;;;;;;;;;;;
;13;26158-MIX-01;Lab-26-2045;Vino;S. blanc;San Ignacio;N/A;04/08/2026;;;;;;;;;;;;;;;;;;
;14;26158-P-05;Lab-26-2046;Vino;S. blanc;San Ignacio;N/A;04/08/2026;;;;;;;;;;;;;;;;;;
;15;26158-MIX-02;Lab-26-2047;Vino;S. blanc;San Ignacio;N/A;04/10/2026;;;;;;;;;;;;;;;;;;
;16;26158-P-08;Lab-26-2048;Vino;S. blanc;San Ignacio;N/A;04/10/2026;;;;;;;;;;;;;;;;;;
;17;26158-MIX-03;Lab-26-2049;Vino;S. blanc;San Ignacio;N/A;04/11/2026;;;;;;;;;;;;;;;;;;
;18;26158-P-10;Lab-26-2050;Vino;S. blanc;San Ignacio;N/A;04/11/2026;;;;;;;;;;;;;;;;;;
;19;26158-MIX-04;Lab-26-2051;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;20;26158-P-12;Lab-26-2052;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;21;26158-MIX-05;Lab-26-2053;Vino;S. blanc;San Ignacio;N/A;13/04/2026;;;;;;;;;;;;;;;;;;
;22;26158-P-13;Lab-26-2054;Vino;S. blanc;San Ignacio;N/A;13/04/2026;;;;;;;;;;;;;;;;;;
;23;26159-P-01;Lab-26-2055;Vino;S. blanc;San Ignacio;N/A;04/06/2026;;;;;;;;;;;;;;;;;;
;24;26159-MIX-01;Lab-26-2056;Vino;S. blanc;San Ignacio;N/A;04/08/2026;;;;;;;;;;;;;;;;;;
;25;26159-P-05;Lab-26-2057;Vino;S. blanc;San Ignacio;N/A;04/08/2026;;;;;;;;;;;;;;;;;;
;26;26159-MIX-02;Lab-26-2058;Vino;S. blanc;San Ignacio;N/A;04/11/2026;;;;;;;;;;;;;;;;;;
