workflow_id,campaign_id,path,role,scientific_status,execution_status,authoritative_output,notes
shared_data_loader,shared,fermentation_model/shared/new_must_data_loader.py,data_loader,active,syntax_validated_not_runtime_executed,,Shared normalized ingestion for synthetic and natural must workbooks.
shared_primary_model,shared,fermentation_model/shared/run_new_must_glycerol_estimability_doe.py,calibration_estimability_doe,active,syntax_validated_not_runtime_executed,fermentation_model/shared/results/new_must_glycerol_estimability_doe,Shared primary fermentation and glycerol layer.
shared_overnight_validation,shared,fermentation_model/shared/run_new_must_overnight_validation.py,validation,active_support,syntax_validated_not_runtime_executed,fermentation_model/shared/results/new_must_glycerol_overnight_validation,Validation support rather than the preferred reporting endpoint.
shared_secondary_review,shared,fermentation_model/shared/run_secondary_metabolite_data_review.py,data_review,active_dependency,syntax_validated_not_runtime_executed,fermentation_model/shared/results/secondary_metabolite_data_review,Feeds the joint secondary model.
shared_secondary_joint,shared,fermentation_model/shared/run_secondary_joint_campaign_doe.py,secondary_aroma_model,active_dependency,syntax_validated_not_runtime_executed,fermentation_model/shared/results/secondary_joint_campaign_doe,Shared secondary/aroma formulation.
shared_secondary_v2,shared,fermentation_model/shared/run_secondary_v2_model_evaluation.py,model_evaluation,active_dependency,syntax_validated_not_runtime_executed,fermentation_model/shared/results/secondary_v2_model_evaluation,Selected secondary-model utilities.
shared_aroma_partition,shared,fermentation_model/shared/aroma_partition_unifac.py,library,active_dependency,syntax_validated_not_runtime_executed,,Liquid-gas partition calculations.
lab26_design_baseline,laboratory_2026,fermentation_model/laboratory_2026/run_final_operational_doe_v2.py,design_baseline,active_dependency,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/final_operational_doe_v2,Unconstrained predecessor retained because the selected design imports it.
lab26_design_selected,laboratory_2026,fermentation_model/laboratory_2026/run_final_operational_doe_volume_constrained.py,design_runner,current,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/final_operational_doe_volume_constrained,Selected volume-constrained campaign.
lab26_design_notebook_generator,laboratory_2026,fermentation_model/laboratory_2026/create_volume_constrained_doe_notebook.py,notebook_generator,current,syntax_validated_dependency_missing_in_container,fermentation_model/laboratory_2026/notebooks/fermentation_final_operational_doe_volume_constrained.ipynb,Requires nbformat in the Windows/IDAES environment.
lab26_lot1_preview_generator,laboratory_2026,fermentation_model/laboratory_2026/create_lot1_data_preview_notebook.py,notebook_generator,current,syntax_validated_dependency_missing_in_container,fermentation_model/laboratory_2026/notebooks/fermentation_lot1_data_preview.ipynb,Requires nbformat in the Windows/IDAES environment.
lab26_ethanol_template,laboratory_2026,fermentation_model/laboratory_2026/create_lot1_ethanol_entry_template.py,data_entry_template,current,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/lot1_data_preview/manual_entry_templates,Lot 1 manual ethanol entry helper.
lab26_estimability_compare,laboratory_2026,fermentation_model/laboratory_2026/run_estimability_old_vs_lot1.py,calibration_estimability,current,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/estimability_old_vs_lot1,Local fit plus FIM/eigen/profile comparison before and after Lot 1.
lab26_actual_reassessment,laboratory_2026,fermentation_model/laboratory_2026/run_lot1_actual_mbdoe_reassessment.py,sequential_doe,current,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/lot1_actual_mbdoe_reassessment,Reassesses information using executed Lot 1.
lab26_pulse_timing,laboratory_2026,fermentation_model/laboratory_2026/run_lot1_pulse_timing_mbdoe.py,sequential_doe,current_support,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/lot1_pulse_timing_mbdoe,Pulse-timing refinement.
lab26_express_sampling,laboratory_2026,fermentation_model/laboratory_2026/run_lot1_express_optimal_sampling.py,sampling_design,current_support,syntax_validated_not_runtime_executed,fermentation_model/laboratory_2026/results/lot1_express_optimal_sampling,Sampling refinement using the pulse-timing workflow.
pilot25_integrated,pilot_2025,fermentation_model/pilot_2025/run_pilot_2025_co2_solubility_integrated_doe.py,integrated_model,current,syntax_validated_not_runtime_executed,fermentation_model/pilot_2025/results/co2_solubility_integrated_doe,Authoritative Pilot 2025 workflow.
pilot26_data_integration,pilot_2026,fermentation_model/pilot_2026/run_data_integration.py,data_integration,current,runtime_validated,fermentation_model/pilot_2026/results/data_integration_2026,Authoritative lossless ingestion and QC workflow before model calibration.
