parameter,group,campaign_var_ratio,campaign_var_reduction
mu0,fermentation,0.0467237925543963,0.9532762074456037
sN,fermentation,0.23105640603231056,0.7689435939676894
qN,fermentation,0.06859079727096845,0.9314092027290315
qXG,fermentation,0.018862657727395815,0.9811373422726042
qXF,fermentation,0.017780051256537477,0.9822199487434625
betaG0,fermentation,0.011731352650807093,0.988268647349193
sG,fermentation,0.022701368766685034,0.977298631233315
betaF0,fermentation,0.0031691578818379283,0.9968308421181621
sF,fermentation,0.04423924499147806,0.955760755008522
qEG,fermentation,0.01738850317632503,0.982611496823675
qEF,fermentation,0.0029325216116807794,0.9970674783883192
iG,fermentation,0.0022241864274751373,0.9977758135725249
iE,fermentation,0.016058304616247715,0.9839416953837523
Kd0,fermentation,0.0009591269967541405,0.9990408730032458
m0,fermentation,0.015884135627517653,0.9841158643724823
k_EA_growth,synthesis,0.009638760209067614,0.9903612397909324
k_EA_stationary,synthesis,4.3266089075769596e-05,0.9999567339109242
k_IAA_growth,synthesis,0.007257133275262845,0.9927428667247371
k_IAA_stationary,synthesis,1.7575003051212867e-05,0.9999824249969488
k_EO_growth,synthesis,0.015445829483120526,0.9845541705168794
k_EO_stationary,synthesis,3.8195011860961814e-05,0.999961804988139
