Index,policy,sample_number,time_h,local_timestamp,weekday,active_probability,candidate_only_not_for_physical_execution,notice,authorized_for_physical_execution,logical_profile,tank,event_label,sequence_if_nutrition_coincides
20,candidate_B,1,0.0,2026-07-20T15:00:00-04:00,Monday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,BASAL,SAMPLE_FIRST
21,candidate_B,2,18.0,2026-07-21T09:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_02,SAMPLE_FIRST
22,candidate_B,3,22.0,2026-07-21T13:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_03,SAMPLE_FIRST
23,candidate_B,4,26.0,2026-07-21T17:00:00-04:00,Tuesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_04,SAMPLE_FIRST
24,candidate_B,5,42.0,2026-07-22T09:00:00-04:00,Wednesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_05,SAMPLE_FIRST
25,candidate_B,6,50.0,2026-07-22T17:00:00-04:00,Wednesday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_06,SAMPLE_FIRST
26,candidate_B,7,66.0,2026-07-23T09:00:00-04:00,Thursday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_07,SAMPLE_FIRST
27,candidate_B,8,74.0,2026-07-23T17:00:00-04:00,Thursday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_08,SAMPLE_FIRST
28,candidate_B,9,98.0,2026-07-24T17:00:00-04:00,Friday,1.0,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_09,SAMPLE_FIRST
29,candidate_B,10,162.0,2026-07-27T09:00:00-04:00,Monday,0.953125,True,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,SAMPLE_10,SAMPLE_FIRST
